Rank_x,Player,Team_x,PA,IP,Bat WAR,Pit WAR,Total War,Rank_y,Team_y,Position,Salary,Years,Total Value,Average Annual
120,MacKenzie Gore,WSN,,159.2,0.0,2.9,2.9,249.0,Nationals,LHP,"$2,890,000 ",,$0 ,2890000.0
121,Brady Singer,CIN,,169.2,0.0,2.9,2.9,614.0,Reds,RHP,"$8,750,000 ",,$0 ,8750000.0
122,TJ Friedl,CIN,685.0,,2.9,,2.9,776.0,Reds,OF,"$780,000 ",,$0 ,780000.0
123,Brendan Donovan,STL,515.0,,2.9,,2.9,250.0,Cardinals,2,"$2,850,000 ",,$0 ,2850000.0
124,J.P. Crawford,SEA,654.0,,2.8,,2.8,149.0,Mariners,SS,"$11,000,000 ",5.0,"$51,000,000 ",10200000.0
125,Nick Lodolo,CIN,,156.2,0.0,2.8,2.8,209.0,Reds,LHP,"$1,975,000 ",,$0 ,1975000.0
126,Ian Happ,CHC,663.0,,2.8,,2.8,58.0,Cubs,OF,"$21,000,000 ",3.0,"$61,000,000 ",20333333.0
127,Willson Contreras,STL,563.0,,2.8,,2.8,83.0,Cardinals,C,"$18,000,000 ",5.0,"$87,500,000 ",17500000.0
129,Cade Smith,CLE,,73.2,0.0,2.7,2.7,734.0,Guardians,RHP,"$785,100 ",,$0 ,785100.0
130,Gabriel Moreno,ARI,309.0,,2.7,,2.7,715.0,Diamondbacks,C,"$793,000 ",,$0 ,793000.0
134,Carson Kelly,CHC,421.0,,2.6,,2.6,184.0,Cubs,C,"$5,000,000 ",2.0,"$11,500,000 ",5750000.0
135,Aroldis Chapman,BOS,,61.1,0.0,2.6,2.6,606.0,Red Sox,LHP,"$10,750,000 ",,$0 ,10750000.0
137,Jorge Polanco,SEA,524.0,,2.6,,2.6,573.0,Mariners,2,"$7,000,000 ",,$0 ,7000000.0
138,Luis Castillo,SEA,,180.2,0.0,2.6,2.6,51.0,Mariners,RHP,"$24,150,000 ",5.0,"$108,000,000 ",21600000.0
139,Carlos Correa,- - -,584.0,,2.6,,2.6,13.0,Twins,SS,"$37,333,333 ",6.0,"$200,000,000 ",33333333.0
140,Isaac Collins,MIL,441.0,,2.6,,2.6,483.0,Brewers,OF,"$761,100 ",,$0 ,761100.0
141,Seiya Suzuki,CHC,651.0,,2.6,,2.6,87.0,Cubs,OF,"$19,000,000 ",5.0,"$85,000,000 ",17000000.0
142,Gleyber Torres,DET,628.0,,2.6,,2.6,632.0,Tigers,2,"$15,000,000 ",,$0 ,15000000.0
143,Dean Kremer,BAL,,171.2,0.0,2.6,2.6,248.0,Orioles,RHP,"$2,950,000 ",,$0 ,2950000.0
144,Chad Patrick,MIL,,119.2,0.0,2.6,2.6,525.0,Brewers,RHP,"$760,000 ",,$0 ,760000.0
145,Logan Gilbert,SEA,,131.0,0.0,2.6,2.6,586.0,Mariners,RHP,"$7,625,000 ",,$0 ,7625000.0
146,Drew Rasmussen,TBR,,150.0,0.0,2.5,2.5,195.0,Rays,RHP,"$2,250,000 ",2.0,"$8,500,000 ",4250000.0
147,Jack Flaherty,DET,,161.0,0.0,2.5,2.5,84.0,Tigers,RHP,"$25,000,000 ",2.0,"$35,000,000 ",17500000.0
148,Luis Severino,ATH,,162.2,0.0,2.5,2.5,48.0,Athletics,RHP,"$20,000,000 ",3.0,"$67,000,000 ",22333333.0
150,Jonathan Aranda,TBR,422.0,,2.5,,2.5,,Rays,DH,"$766,500 ",,$0 ,766500.0
151,Xavier Edwards,MIA,619.0,,2.5,,2.5,,Marlins,SS,"$772,000 ",,$0 ,772000.0
152,Clayton Kershaw,LAD,,112.2,0.0,2.5,2.5,583.0,Dodgers,LHP,"$7,500,000 ",,$0 ,7500000.0
153,Mitch Keller,PIT,,176.1,0.0,2.5,2.5,94.0,Pirates,RHP,"$15,411,500 ",5.0,"$77,000,000 ",15400000.0
154,Yusei Kikuchi,LAA,,178.1,0.0,2.5,2.5,54.0,Angels,LHP,"$21,000,000 ",3.0,"$63,000,000 ",21000000.0
155,Kyle Freeland,COL,,162.2,0.0,2.5,2.5,120.0,Rockies,LHP,"$16,000,000 ",5.0,"$64,500,000 ",12900000.0
156,Christian Yelich,MIL,644.0,,2.4,,2.4,43.0,Brewers,OF,"$24,092,771 ",9.0,"$215,000,000 ",23888888.89
157,Isaac Paredes,HOU,438.0,,2.4,,2.4,578.0,Astros,3,"$6,625,000 ",,$0 ,6625000.0
158,Chris Bassitt,TOR,,170.1,0.0,2.4,2.4,53.0,Blue Jays,RHP,"$22,000,000 ",3.0,"$63,000,000 ",21000000.0
159,Wilyer Abreu,BOS,417.0,,2.4,,2.4,774.0,Red Sox,OF,"$780,000 ",,$0 ,780000.0
160,Brandon Marsh,PHI,425.0,,2.4,,2.4,313.0,Phillies,OF,"$3,000,000 ",,$0 ,3000000.0
162,Brent Rooker,ATH,699.0,,2.4,,2.4,130.0,Athletics,OF,"$4,000,000 ",5.0,"$60,000,000 ",12000000.0
163,George Kirby,SEA,,126.0,0.0,2.4,2.4,550.0,Mariners,RHP,"$4,300,000 ",,$0 ,4300000.0
164,Spencer Schwellenbach,ATL,,110.2,0.0,2.4,2.4,,Braves,RHP,"$770,000 ",,$0 ,770000.0
165,Casey Mize,DET,,149.0,0.0,2.4,2.4,278.0,Tigers,RHP,"$2,340,000 ",,$0 ,2340000.0
166,Spencer Torkelson,DET,649.0,,2.3,,2.3,732.0,Tigers,1,"$785,700 ",,$0 ,785700.0
167,Mike Yastrzemski,- - -,558.0,1.0,2.4,0.0,2.3,593.0,Giants,OF,"$9,250,000 ",,$0 ,9250000.0
168,Otto Lopez,MIA,594.0,,2.3,,2.3,,Marlins,2,"$778,500 ",,$0 ,778500.0
169,Brett Baty,NYM,432.0,,2.3,,2.3,,Mets,3,"$774,000 ",,$0 ,774000.0
171,Jake Meyers,HOU,381.0,,2.3,,2.3,279.0,Astros,OF,"$2,300,000 ",,$0 ,2300000.0
172,Justin Verlander,SFG,,152.0,0.0,2.2,2.2,618.0,Giants,RHP,"$15,000,000 ",,$0 ,15000000.0
173,Jack Leiter,TEX,1.0,151.2,0.0,2.3,2.2,451.0,Rangers,RHP,"$762,500 ",,$0 ,762500.0
174,Garrett Whitlock,BOS,,72.0,0.0,2.2,2.2,192.0,Red Sox,RHP,"$5,500,000 ",4.0,"$18,750,000 ",4687500.0
175,Adrian Morejon,SDP,,73.2,0.0,2.2,2.2,349.0,Padres,LHP,"$2,000,000 ",,$0 ,2000000.0
176,Bryan Abreu,HOU,,71.0,0.0,2.2,2.2,324.0,Astros,RHP,"$3,450,000 ",,$0 ,3450000.0
178,Daulton Varsho,TOR,271.0,,2.2,,2.2,598.0,Blue Jays,OF,"$8,200,000 ",,$0 ,8200000.0
180,Shane Smith,CHW,,146.1,0.0,2.2,2.2,528.0,White Sox,RHP,"$760,000 ",,$0 ,760000.0
181,Robbie Ray,SFG,,182.1,0.0,2.2,2.2,47.0,Giants,LHP,"$25,000,000 ",5.0,"$115,000,000 ",23000000.0
184,Jose Altuve,HOU,654.0,,2.1,,2.1,37.0,Astros,OF,"$33,000,000 ",5.0,"$125,000,000 ",25000000.0
185,Marcus Semien,TEX,534.0,,2.1,,2.1,35.0,Rangers,2,"$26,000,000 ",7.0,"$175,000,000 ",25000000.0
186,Jhoan Duran,- - -,,70.0,0.0,2.1,2.1,296.0,Twins,RHP,"$4,125,000 ",,$0 ,4125000.0
187,Jeff McNeil,NYM,462.0,,2.1,,2.1,123.0,Mets,2,"$15,750,000 ",4.0,"$50,000,000 ",12500000.0
188,Ryne Nelson,ARI,1.0,154.0,0.1,2.0,2.1,692.0,Diamondbacks,RHP,"$825,000 ",,$0 ,825000.0
